GEN	1	<<	Narr_01: Genesis	#19		1	GENESIS *~*GENESIS 1
GEN	3	7	Narr_01: Genesis	#19		80	" {7} Then the eyes of both of them were opened, and they realized they were naked; so they sewed fig leaves together and made coverings for themselves."
GEN	3	8	Narr_01: Genesis	#19		81	" {8} Then the man and his wife heard the sound of the Lord God as he was walking in the garden in the cool of the day, and they hid from the Lord God among the trees of the garden."
GEN	3	9	Narr_01: Genesis	#19		82	" {9} But the Lord God called to the man,"
GEN	3	9	God-FX1	#20		83	 << Where are you?>>
GEN	3	10	Narr_01: Genesis	#19		84	" {10} He answered,"
GEN	3	10	Adam	#07		85	" << I heard you in the garden, and I was afraid because I was naked; so I hid.>>"
GEN	3	11	Narr_01: Genesis	#19		86	" {11} and he said,"
GEN	3	11	God-FX1	#20		87	 << Who told you that you were naked? Have you eaten from the tree that I commanded you not to eat from?>>
GEN	3	12	Narr_01: Genesis	#19		88	" {12} The man said,"
GEN	3	12	Adam	#07		89	" << The woman you put here with me--she gave me some fruit from the tree, and I ate it.>>"
GEN	3	13	Narr_01: Genesis	#19		90	" {13} Then the Lord God said to the woman,"
GEN	3	13	God-FX1	#20		91	 << What is this you have done?>>
GEN	3	13	Narr_01: Genesis	#19		92	" The woman said,"
GEN	3	13	Woman	#23		93	" << The serpent deceived me, and I ate.>>"
GEN	3	14	Narr_01: Genesis	#19		94	" {14} So the Lord God said to the serpent,"
GEN	3	14	God-FX1	#20		95	" << Because you have done this, ""Cursed are you above all the livestock and all the wild animals!"
GEN	3	14	God-FX1	#20		96	 You will crawl on your belly and you will eat dust all the days of your life.
GEN	3	15	God-FX1	#20		97	" {15} And I will put enmity between you and the woman, and between your offspring and hers; he will crush your head, and you will strike his heel.>>"
GEN	3	16	Narr_01: Genesis	#19		98	" {16} To the woman he said,"
GEN	3	16	God-FX1	#20		99	 << I will greatly increase your pains in childbearing; with pain you will give birth to children.
GEN	3	16	God-FX1	#20		100	" Your desire will be for your husband, and he will rule over you.>>"
GEN	3	17	Narr_01: Genesis	#19		101	 {17} To Adam he said
GEN	3	17	God-FX1	#20		102	" << Because you listened to your wife and ate from the tree about which I commanded you, 'You must not eat of it,' ""Cursed is the ground because of you;"
GEN	3	17	God-FX1	#20		103	 through painful toil you will eat of it all the days of your life.
GEN	3	17	God-FX1	#20		104	" {18} It will produce thorns and thistles for you, and you will eat the plants of the field."
GEN	3	19	God-FX1	#20		105	" {19} By the sweat of your brow you will eat your food until you return to the ground, since from it you were taken;"
GEN	3	19	God-FX1	#20		106	 for dust you are and to dust you will return.>>
GEN	3	20	Narr_01: Genesis	#19		107	" {20} Adam named his wife Eve, because she would become the mother of all the living."
GEN	3	21	Narr_01: Genesis	#19		108	" {21} The Lord God made garments of skin for Adam and his wife and clothed them. {22} And the Lord God said,"
GEN	3	22	God-FX1	#20		109	" << The man has now become like one of us, knowing good and evil."
GEN	3	22	God-FX1	#20		110	" He must not be allowed to reach out his hand and take also from the tree of life and eat, and live forever.>>"
GEN	3	23	Narr_01: Genesis	#19		111	 {23} So the Lord God banished him from the Garden of Eden to work the ground from which he had been taken.
GEN	3	24	Narr_01: Genesis	#19		112	" {24} After he drove the man out, he placed on the east side of the Garden of Eden cherubim and a flaming sword flashing back and forth to guard the way to the tree of life.*~**~*||||| + 2 SECs |||||*~*"
GEN	4	<<	Narr_01: Genesis	#19		113	GENESIS 4
GEN	4	1	Narr_01: Genesis	#19		114	" {1} Adam lay with his wife Eve, and she became pregnant and gave birth to Cain. She said"
GEN	4	1	Woman	#23		115	 << With the help of the Lord I have brought forth a man.>>
GEN	4	2	Narr_01: Genesis	#19		116	" {2} Later she gave birth to his brother Abel. Now Abel kept flocks, and Cain worked the soil."
GEN	4	3	Narr_01: Genesis	#19		117	 {3} In the course of time Cain brought some of the fruits of the soil as an offering to the Lord.
GEN	4	4	Narr_01: Genesis	#19		118	 {4} But Abel brought fat portions from some of the firstborn of his flock.
GEN	4	4	Narr_01: Genesis	#19		119	" The Lord looked with favor on Abel and his offering, {5} but on Cain and his offering he did not look with favor."
GEN	4	5	Narr_01: Genesis	#19		120	" So Cain was very angry, and his face was downcast. {6} Then the Lord said to Cain,"
GEN	4	6	God-FX1	#20		121	 << Why are you angry? Why is your face downcast?
GEN	4	7	God-FX1	#20		122	" {7} If you do what is right, will you not be accepted?"
GEN	4	7	God-FX1	#20		123	" But if you do not do what is right, sin is crouching at your door; it desires to have you, but you must master it.>>"
GEN	4	8	Narr_01: Genesis	#19		124	" {8} Now Cain said to his brother Abel,"
GEN	4	8	Cain	#06		125	 << Let's go out to the field.>>
GEN	4	8	Narr_01: Genesis	#19		126	" And while they were in the field, Cain attacked his brother Abel and killed him. {9} Then the Lord said to Cain,"
GEN	4	9	God-FX1	#20		127	 << Where is your brother Abel?>>
GEN	4	9	Narr_01: Genesis	#19		128	" Cain said to the Lord,"
GEN	4	9	Cain	#06		129	 << I don't know. Am I my brother's keeper?>>
GEN	4	10	Narr_01: Genesis	#19		130	" {10} The Lord said,"
GEN	4	10	God-FX1	#20		131	 << What have you done? Listen! Your brother's blood cries out to me from the ground.
GEN	4	11	God-FX1	#20		132	" {11} Now you are under a curse and driven from the ground, which opened its mouth to receive your brother's blood from your hand."
GEN	4	12	God-FX1	#20		133	" {12} When you work the ground, it will no longer yield its crops for you. You will be a restless wanderer on the earth.>>"
GEN	4	13	Narr_01: Genesis	#19		134	" {13} Cain said to the Lord,"
GEN	4	13	Cain	#06		135	 << My punishment is more than I can bear.
GEN	4	14	Cain	#06		136	" {14} Today you are driving me from the land, and I will be hidden from your presence;"
GEN	4	14	Cain	#06		137	" I will be a restless wanderer on the earth, and whoever finds me will kill me.>>"
GEN	4	15	Narr_01: Genesis	#19		138	" {15} But the Lord said to him,"
GEN	4	15	God-FX1	#20		139	" << Not so; if anyone kills Cain, he will suffer vengeance seven times over.>>"
GEN	4	15	Narr_01: Genesis	#19		140	 Then the Lord put a mark on Cain so that no one who found him would kill him.
GEN	4	16	Narr_01: Genesis	#19		141	" {16} So Cain went out from the Lord's presence and lived in the land of Nod, east of Eden."
GEN	4	17	Narr_01: Genesis	#19		142	" {17} Cain lay with his wife, and she became pregnant and gave birth to Enoch. Cain was then building a city, and he named it after his son Enoch."
GEN	4	18	Narr_01: Genesis	#19		143	" {18} To Enoch was born Irad, and Irad was the father of Mehujael,"
GEN	4	18	Narr_01: Genesis	#19		144	" and Mehujael was the father of Methushael, and Methushael was the father of Lamech."
GEN	4	19	Narr_01: Genesis	#19		145	" {19} Lamech married two women, one named Adah and the other Zillah."
GEN	4	20	Narr_01: Genesis	#19		146	 {20} Adah gave birth to Jabal; he was the father of those who live in tents and raise livestock.
GEN	4	21	Narr_01: Genesis	#19		147	 {21} His brother's name was Jubal; he was the father of all who play the harp and flute.
GEN	4	22	Narr_01: Genesis	#19		148	" {22} Zillah also had a son, Tubal-Cain, who forged all kinds of tools out of bronze and iron. Tubal-Cain's sister was Naamah."
GEN	4	23	Narr_01: Genesis	#19		149	" {23} Lamech said to his wives,"
GEN	4	23	Lamech	#03		150	" << Adah and Zillah, listen to me; wives of Lamech, hear my words. I have killed a man for wounding me, a young man for injuring me."
GEN	4	24	Lamech	#03		151	" {24} If Cain is avenged seven times, then Lamech seventy-seven times.>>"
GEN	4	25	Narr_01: Genesis	#19		152	" {25} Adam lay with his wife again, and she gave birth to a son and named him Seth, saying,"
GEN	4	25	Woman	#23		153	" << God has granted me another child in place of Abel, since Cain killed him.>>"
GEN	4	26	Narr_01: Genesis	#19		154	" {26} Seth also had a son, and he named him Enosh. At that time men began to call on the name of the Lord.*~**~*||||| + 2 SECs |||||*~*"
GEN	5	<<	Narr_01: Genesis	#19		155	GENESIS 5
GEN	5	1	Narr_01: Genesis	#19		156	" {1} This is the written account of Adam's line. When God created man, he made him in the likeness of God."
GEN	5	2	Narr_01: Genesis	#19		157	" {2} He created them male and female and blessed them. And when they were created, he called them ""man."""
GEN	5	3	Narr_01: Genesis	#19		158	" {3} When Adam had lived 130 years, he had a son in his own likeness, in his own image; and he named him Seth."
GEN	5	4	Narr_01: Genesis	#19		159	" {4} After Seth was born, Adam lived 800 years and had other sons and daughters. {5} Altogether, Adam lived 930 years, and then he died."
GEN	5	6	Narr_01: Genesis	#19		160	" {6} When Seth had lived 105 years, he became the father of Enosh."
GEN	5	7	Narr_01: Genesis	#19		161	" {7} And after he became the father of Enosh, Seth lived 807 years and had other sons and daughters."
GEN	5	8	Narr_01: Genesis	#19		162	" {8} Altogether, Seth lived 912 years, and then he died."
GEN	5	9	Narr_01: Genesis	#19		163	" {9} When Enosh had lived 90 years, he became the father of Kenan."
GEN	5	9	Narr_01: Genesis	#19		164	" {10} And after he became the father of Kenan, Enosh lived 815 years and had other sons and daughters."
GEN	5	11	Narr_01: Genesis	#19		165	" {11} Altogether, Enosh lived 905 years, and then he died."
GEN	5	12	Narr_01: Genesis	#19		166	" {12} When Kenan had lived 70 years, he became the father of Mahalalel."
GEN	5	13	Narr_01: Genesis	#19		167	" {13} And after he became the father of Mahalalel, Kenan lived 840 years and had other sons and daughters."
GEN	5	14	Narr_01: Genesis	#19		168	" {14} Altogether, Kenan lived 910 years, and then he died."
GEN	5	15	Narr_01: Genesis	#19		169	" {15} When Mahalalel had lived 65 years, he became the father of Jared."
GEN	5	16	Narr_01: Genesis	#19		170	" {16} And after he became the father of Jared, Mahalalel lived 830 years and had other sons and daughters."
GEN	5	17	Narr_01: Genesis	#19		171	" {17} Altogether, Mahalalel lived 895 years, and then he died."
GEN	5	18	Narr_01: Genesis	#19		172	" {18} When Jared had lived 162 years, he became the father of Enoch."
GEN	5	18	Narr_01: Genesis	#19		173	" {19} And after he became the father of Enoch, Jared lived 800 years and had other sons and daughters."
GEN	5	20	Narr_01: Genesis	#19		174	" {20} Altogether, Jared lived 962 years, and then he died."
GEN	5	21	Narr_01: Genesis	#19		175	" {21} When Enoch had lived 65 years, he became the father of Methuselah."
GEN	5	22	Narr_01: Genesis	#19		176	" {22} And after he became the father of Methuselah, Enoch walked with God 300 years and had other sons and daughters."
GEN	5	23	Narr_01: Genesis	#19		177	" {23} Altogether, Enoch lived 365 years. {24} Enoch walked with God; then he was no more, because God took him away."
GEN	5	25	Narr_01: Genesis	#19		178	" {25} When Methuselah had lived 187 years, he became the father of Lamech."
GEN	5	25	Narr_01: Genesis	#19		179	" {26} And after he became the father of Lamech, Methuselah lived 782 years and had other sons and daughters."
GEN	5	27	Narr_01: Genesis	#19		180	" {27} Altogether, Methuselah lived 969 years, and then he died."
GEN	5	28	Narr_01: Genesis	#19		181	" {28} When Lamech had lived 182 years, he had a son. {29} He named him Noah and said,"
GEN	5	29	Lamech	#03		182	 << He will comfort us in the labor and painful toil of our hands caused by the ground the Lord has cursed.>>
GEN	5	30	Narr_01: Genesis	#19		183	" {30} After Noah was born, Lamech lived 595 years and had other sons and daughters."
GEN	5	31	Narr_01: Genesis	#19		184	" {31} Altogether, Lamech lived 777 years, and then he died."
GEN	5	32	Narr_01: Genesis	#19		185	" {32} After Noah was 500 years old, he became the father of Shem, Ham and Japheth.*~**~*||||| + 2 SECs |||||*~*"
GEN	6	<<	Narr_01: Genesis	#19		186	GENESIS 6
GEN	6	1	Narr_01: Genesis	#19		187	" {1} When men began to increase in number on the earth and daughters were born to them, {2} the sons of God saw that the daughters of men were beautiful, and they married any of them they chose. {3} Then the Lord said,"
GEN	6	3	God-FX1	#20		188	" << My Spirit will not contend with man forever, for he is mortal; his days will be a hundred and twenty years.>>"
GEN	6	4	Narr_01: Genesis	#19		189	 {4} The Nephilim were on the earth in those days--and also afterward--when the sons of God went to the daughters of men and had children by them.
GEN	6	4	Narr_01: Genesis	#19		190	" They were the heroes of old, men of renown."
GEN	6	5	Narr_01: Genesis	#19		191	" {5} The Lord saw how great man's wickedness on the earth had become, and that every inclination of the thoughts of his heart was only evil all the time."
GEN	6	6	Narr_01: Genesis	#19		192	" {6} The Lord was grieved that he had made man on the earth, and his heart was filled with pain. {7} So the Lord said,"
GEN	6	7	God-FX1	#20		193	" << I will wipe mankind, whom I have created, from the face of the earth--men and animals, and creatures that move along the ground, and birds of the air--for I am grieved that I have made them.>>"
GEN	6	8	Narr_01: Genesis	#19		194	 {8} But Noah found favor in the eyes of the Lord.
GEN	6	8	Narr_01: Genesis	#19		195	" {9} This is the account of Noah. Noah was a righteous man, blameless among the people of his time, and he walked with God."
GEN	6	10	Narr_01: Genesis	#19		196	" {10} Noah had three sons: Shem, Ham and Japheth."
GEN	6	11	Narr_01: Genesis	#19		197	 {11} Now the earth was corrupt in God's sight and was full of violence.
GEN	6	12	Narr_01: Genesis	#19		198	" {12} God saw how corrupt the earth had become, for all the people on earth had corrupted their ways. {13} So God said to Noah,"
GEN	6	13	God-FX1	#20		199	" << I am going to put an end to all people, for the earth is filled with violence because of them. I am surely going to destroy both them and the earth."
GEN	6	14	God-FX1	#20		200	 {14} So make yourself an ark of cypress wood; make rooms in it and coat it with pitch inside and out.
GEN	6	15	God-FX1	#20		201	" {15} This is how you are to build it: The ark is to be 450 feet long, 75 feet wide and 45 feet high."
GEN	6	16	God-FX1	#20		202	" {16} You shall make a window for the ark, and make a roof for it and finish the ark to within 18 inches of the top."
GEN	6	16	God-FX1	#20		203	" Put a door in the side of the ark and make lower, middle and upper decks."
GEN	6	17	God-FX1	#20		204	" {17} I am going to bring floodwaters on the earth to destroy all life under the heavens, every creature that has the breath of life in it. Everything on earth will perish."
GEN	6	18	God-FX1	#20		205	" {18} But I will establish my covenant with you, and you will enter the ark--you and your sons and your wife and your sons' wives with you.>>"
GEN	6	19	God-FX1	#20		206	" {19} << You are to bring into the ark two of all living creatures, male and female, to keep them alive with you."
GEN	6	20	God-FX1	#20		207	" {20} Two of every kind of bird, of every kind of animal and of every kind of creature that moves along the ground will come to you to be kept alive."
GEN	6	21	God-FX1	#20		208	 {21} You are to take every kind of food that is to be eaten and store it away as food for you and for them.>>
GEN	6	22	Narr_01: Genesis	#19		209	 {22} Noah did everything just as God commanded him.*~**~*||||| + 2 SECs |||||*~*
GEN	7	<<	Narr_01: Genesis	#19		210	GENESIS 7
GEN	7	1	Narr_01: Genesis	#19		211	" {1} The Lord then said to Noah,"
GEN	7	1	God-FX1	#20		212	" Go into the ark, you and your whole family, because I have found you righteous in this generation."
GEN	7	2	God-FX1	#20		213	" {2} Take with you seven of every kind of clean animal, a male and its mate, and two of every kind of unclean animal, a male and its mate,"
GEN	7	3	God-FX1	#20		214	" {3} and also seven of every kind of bird, male and female, to keep their various kinds alive throughout the earth."
GEN	7	4	God-FX1	#20		215	" {4} Seven days from now I will send rain on the earth for forty days and forty nights, and I will wipe from the face of the earth every living creature I have made."
GEN	7	5	Narr_01: Genesis	#19		216	 {5} And Noah did all that the Lord commanded him. {6} Noah was six hundred years old when the floodwaters came on the earth.
GEN	7	7	Narr_01: Genesis	#19		217	 {7} And Noah and his sons and his wife and his sons' wives entered the ark to escape the waters of the flood.
GEN	7	8	Narr_01: Genesis	#19		218	" {8} Pairs of clean and unclean animals, of birds and of all creatures that move along the ground, male and female, {9} came to Noah and entered the ark, as God had commanded Noah."
GEN	7	10	Narr_01: Genesis	#19		219	 {10} And after the seven days the floodwaters came on the earth.
GEN	7	11	Narr_01: Genesis	#19		220	" {11} In the six hundredth year of Noah's life, on the seventeenth day of the second month--on that day all the springs of the great deep burst forth, and the floodgates of the heavens were opened."
GEN	7	12	Narr_01: Genesis	#19		221	 {12} And rain fell on the earth forty days and forty nights.
GEN	7	13	Narr_01: Genesis	#19		222	" {13} On that very day Noah and his sons, Shem, Ham and Japheth, together with his wife and the wives of his three sons, entered the ark."
GEN	7	14	Narr_01: Genesis	#19		223	" {14} They had with them every wild animal according to its kind, all livestock according to their kinds, every creature that moves along the ground according to its kind and every bird according to its kind, everything with wings."
GEN	7	15	Narr_01: Genesis	#19		224	 {15} Pairs of all creatures that have the breath of life in them came to Noah and entered the ark.
GEN	7	16	Narr_01: Genesis	#19		225	" {16} The animals going in were male and female of every living thing, as God had commanded Noah. Then the Lord shut him in."
GEN	7	17	Narr_01: Genesis	#19		226	" {17} For forty days the flood kept coming on the earth, and as the waters increased they lifted the ark high above the earth."
GEN	7	18	Narr_01: Genesis	#19		227	" {18} The waters rose and increased greatly on the earth, and the ark floated on the surface of the water."
GEN	7	19	Narr_01: Genesis	#19		228	" {19} They rose greatly on the earth, and all the high mountains under the entire heavens were covered."
GEN	7	20	Narr_01: Genesis	#19		229	 {20} The waters rose and covered the mountains to a depth of more than twenty feet.
GEN	7	21	Narr_01: Genesis	#19		230	" {21} Every living thing that moved on the earth perished--birds, livestock, wild animals, all the creatures that swarm over the earth, and all mankind."
GEN	7	22	Narr_01: Genesis	#19		231	 {22} Everything on dry land that had the breath of life in its nostrils died.
GEN	7	23	Narr_01: Genesis	#19		232	 {23} Every living thing on the face of the earth was wiped out; men and animals and the creatures that move along the ground and the birds of the air were wiped from the earth.
GEN	7	23	Narr_01: Genesis	#19		233	" Only Noah was left, and those with him in the ark. {24} The waters flooded the earth for a hundred and fifty days.*~**~*||||| + 2 SECs |||||*~*"
GEN	8	<<	Narr_01: Genesis	#19		234	GENESIS 8
GEN	8	1	Narr_01: Genesis	#19		235	" {1} But God remembered Noah and all the wild animals and the livestock that were with him in the ark, and he sent a wind over the earth, and the waters receded."
GEN	8	2	Narr_01: Genesis	#19		236	" {2} Now the springs of the deep and the floodgates of the heavens had been closed, and the rain had stopped falling from the sky."
GEN	8	3	Narr_01: Genesis	#19		237	" {3} The water receded steadily from the earth. At the end of the hundred and fifty days the water had gone down,"
GEN	8	4	Narr_01: Genesis	#19		238	 {4} and on the seventeenth day of the seventh month the ark came to rest on the mountains of Ararat.
GEN	8	5	Narr_01: Genesis	#19		239	" {5} The waters continued to recede until the tenth month, and on the first day of the tenth month the tops of the mountains became visible."
GEN	8	6	Narr_01: Genesis	#19		240	" {6} After forty days Noah opened the window he had made in the ark {7} and sent out a raven, and it kept flying back and forth until the water had dried up from the earth."
GEN	8	8	Narr_01: Genesis	#19		241	 {8} Then he sent out a dove to see if the water had receded from the surface of the ground.
GEN	8	9	Narr_01: Genesis	#19		242	 {9} But the dove could find no place to set its feet because there was water over all the surface of the earth; so it returned to Noah in the ark.
GEN	8	9	Narr_01: Genesis	#19		243	 He reached out his hand and took the dove and brought it back to himself in the ark.
GEN	8	10	Narr_01: Genesis	#19		244	 {10} He waited seven more days and again sent out the dove from the ark.
GEN	8	11	Narr_01: Genesis	#19		245	" {11} When the dove returned to him in the evening, there in its beak was a freshly plucked olive leaf! Then Noah knew that the water had receded from the earth."
