MAT	1	<<	Narr_001: Matthew	#01		1	"MATTHEW*~*MATTHEW CHP 1"
MAT	1	19	Narr_001: Matthew	#01		20	" {19} Joseph, her husband, being a righteous man, and not willing to make her a public example, intended to put her away secretly."
MAT	1	20	Narr_001: Matthew	#01		21	" {20} But when he thought about these things, behold, an angel of the Lord appeared to him in a dream, saying,"
MAT	1	20	Angel_01-FX1	#10		22	" “Joseph, son of David, don't be afraid to take to yourself Mary, your wife, for that which is conceived in her is of the Holy Spirit."
MAT	1	21	Angel_01-FX1	#10		23	" {21} She shall bring forth a son. You shall call his name Jesus, for it is he who shall save his people from their sins.”"
MAT	1	22	Narr_001: Matthew	#01		24	" {22} Now all this has happened, that it might be fulfilled which was spoken by the Lord through the prophet, saying,"
MAT	1	23	God-FX1	#20		25	" {23} “Behold, the virgin shall be with child, and shall bring forth a son. They shall call his name Immanuel”; which is, being interpreted, “God with us.”"
MAT	1	24	Narr_001: Matthew	#01		26	" {24} Joseph arose from his sleep, and did as the angel of the Lord commanded him, and took his wife to himself;"
MAT	1	25	Narr_001: Matthew	#01		27	" {25} and didn't know her sexually until she had brought forth her firstborn son. He named him Jesus. *~**~*||| + 2 SECs |||*~*"
MAT	2	<<	Narr_001: Matthew	#01		28	MATTHEW CHP 2
MAT	2	1	Narr_001: Matthew	#01		29	" {1} Now when Jesus was born in Bethlehem of Judea in the days of King Herod, behold, wise men from the east came to Jerusalem, {2} saying,"
MAT	2	2	Wise Man	#17		30	" “Where is the one who is born King of the Jews? For we saw his star in the east, and have come to worship him.”"
MAT	2	3	Narr_001: Matthew	#01		31	" {3} When King Herod heard it, he was troubled, and all Jerusalem with him."
MAT	2	4	Narr_001: Matthew	#01		32	" {4} Gathering together all the chief priests and scribes of the people, he asked them:"
MAT	2	4	Herod_01	#19		33	" ""Where is the Christ to be be born?"""
MAT	2	5	Narr_001: Matthew	#01		34	" {5} They said to him,"
MAT	2	5	Religious Leader	#05		35	" “In Bethlehem of Judea, for this is written through the prophet,"
MAT	2	6	Religious Leader	#05		36	" {6} 'You Bethlehem, land of Judah, are in no way least among the princes of Judah: for out of you shall come forth a governor, who shall shepherd my people, Israel.”"
MAT	2	7	Narr_001: Matthew	#01		37	" {7} Then Herod secretly called the wise men, and asked them:"
MAT	2	7	Herod_01	#19		38	" ""What time did the star appear?"""
MAT	2	8	Narr_001: Matthew	#01		39	" ||| DO NOT COMBINE |||*~*{Music--Starts @ v8}*~**~* {8} He sent them to Bethlehem, and said,"
MAT	2	8	Herod_01	#19		40	" “Go and search diligently for the young child. When you have found him, bring me word, so that I also may come and worship him.”"
MAT	2	9	Narr_001: Matthew	#01		41	" {9} They, having heard the king, went their way; and behold, the star, which they saw in the east, went before them, until it came and stood over where the young child was."
MAT	2	10	Narr_001: Matthew	#01		42	" {10} When they saw the star, they rejoiced with exceedingly great joy."
MAT	2	11	Narr_001: Matthew	#01		43	" {11} They came into the house and saw the young child with Mary, his mother, and they fell down and worshiped him."
MAT	2	11	Narr_001: Matthew	#01		44	" Opening their treasures, they offered to him gifts: gold, frankincense, and myrrh."
MAT	2	12	Narr_001: Matthew	#01		45	" {12} Being warned in a dream that they shouldn't return to Herod, they went back to their own country another way."
MAT	2	13	Narr_001: Matthew	#01		46	" {13} Now when they had departed, behold, an angel of the Lord appeared to Joseph in a dream, saying,"
MAT	2	13	Angel_01-FX1	#10		47	" “Arise and take the young child and his mother, and flee into Egypt, and stay there until I tell you, for Herod will seek the young child to destroy him.”"
MAT	2	14	Narr_001: Matthew	#01		48	" {14} He arose and took the young child and his mother by night, and departed into Egypt."
MAT	2	15	Narr_001: Matthew	#01		49	" {15} They remained there until the death of Herod; that it might be fulfilled which was spoken by the Lord through the prophet, saying,"
MAT	2	15	God-FX1	#20		50	 “Out of Egypt I called my son.”
MAT	2	16	Narr_001: Matthew	#01		51	" {16} When Herod saw that he was mocked by the wise men, he became exceedingly angry."
MAT	2	16	Narr_001: Matthew	#01		52	" He sent out and killed all the male children who were in Bethlehem and in all the surrounding countryside, from two years old and under, according to the exact time which he had learned from the wise men."
MAT	2	17	Narr_001: Matthew	#01		53	" {17} Then that which was spoken by Jeremiah the prophet was fulfilled, saying,"
MAT	2	18	God-FX1	#20		54	" {18} “A voice was heard in Ramah, lamentation, weeping and great mourning, Rachel weeping for her children; she wouldn't be comforted, because they are no more.”"
MAT	2	19	Narr_001: Matthew	#01		55	" {19} But when Herod was dead, behold, an angel of the Lord appeared in a dream to Joseph in Egypt, saying,"
MAT	2	20	Angel_01-FX1	#10		56	" {20} “Arise and take the young child and his mother, and go into the land of Israel, for those who sought the young child's life are dead.”"
MAT	2	21	Narr_001: Matthew	#01		57	" {21} He arose and took the young child and his mother, and came into the land of Israel."
MAT	2	22	Narr_001: Matthew	#01		58	" {22} But when he heard that Archelaus was reigning over Judea in the place of his father, Herod, he was afraid to go there."
MAT	2	22	Narr_001: Matthew	#01		59	" Being warned in a dream, he withdrew into the region of Galilee."
MAT	2	23	Narr_001: Matthew	#01		60	 {23} He came and lived in a city called Nazareth; that it might be fulfilled which was spoken through the prophets:
MAT	2	23	Scripture Quote-FX1	#03		61	" “He will be called a Nazarene.”*~**~*||| + 2 SECs |||*~*"
MAT	3	<<	Narr_001: Matthew	#01		62	MATTHEW CHP 3
MAT	3	1	Narr_001: Matthew	#01		63	" {1} In those days, John the Baptizer came, preaching in the wilderness of Judea, saying,"
MAT	3	2	John the Baptist	#06		64	" {2} “Repent, for the Kingdom of Heaven is at hand!”"
MAT	3	3	Narr_001: Matthew	#01		65	" {3} For this is he who was spoken of by Isaiah the prophet, saying,"
MAT	3	3	Isaiah-FX1	#04		66	" “The voice of one crying in the wilderness, make ready the way of the Lord. Make his paths straight.”"
MAT	3	4	Narr_001: Matthew	#01		67	" {4} Now John himself wore clothing made of camel's hair, with a leather belt around his waist. His food was locusts and wild honey."
MAT	3	5	Narr_001: Matthew	#01		68	" {5} Then people from Jerusalem, all of Judea, and all the region around the Jordan went out to him."
MAT	3	6	Narr_001: Matthew	#01		69	" {6} They were baptized by him in the Jordan, confessing their sins."
MAT	3	7	Narr_001: Matthew	#01		70	" {7} But when he saw many of the Pharisees and Sadducees coming for his baptism, he said to them,"
MAT	3	7	John the Baptist	#06		71	" “You offspring of vipers, who warned you to flee from the wrath to come?"
MAT	3	8	John the Baptist	#06		72	 {8} Therefore bring forth fruit worthy of repentance!
MAT	3	9	John the Baptist	#06		73	" {9} Don't think to yourselves, 'We have Abraham for our father,' for I tell you that God is able to raise up children to Abraham from these stones."
MAT	3	10	John the Baptist	#06		74	" {10} “Even now the axe lies at the root of the trees. Therefore every tree that doesn't bring forth good fruit is cut down, and cast into the fire."
MAT	3	11	John the Baptist	#06		75	" {11} I indeed baptize you in water for repentance, but there is one who comes after me is mightier than I, whose shoes I am not worthy to carry."
MAT	3	11	John the Baptist	#06		76	 He will baptize you in the Holy Spirit.
MAT	3	12	John the Baptist	#06		77	" {12} His winnowing fork is in his hand, and he will thoroughly cleanse his threshing floor."
MAT	3	12	John the Baptist	#06		78	" He will gather his wheat into the barn, but the chaff he will burn up with unquenchable fire.”"
MAT	3	13	Narr_001: Matthew	#01		79	" {13} Then Jesus came from Galilee to the Jordan to John, to be baptized by him. {14} But John would have hindered him, saying,"
MAT	3	14	John the Baptist	#06		80	" “I need to be baptized by you, and you come to me?”"
MAT	3	15	Narr_001: Matthew	#01		81	" {15} But Jesus, answering, said to him,"
MAT	3	15	Jesus	#07		82	" “Allow it now, for this is the fitting way for us to fulfill all righteousness.”"
MAT	3	15	Narr_001: Matthew	#01		83	 Then he allowed him.
MAT	3	16	Narr_001: Matthew	#01		84	" {16} Jesus, when he was baptized, went up directly from the water: and behold, the heavens were opened to him. He saw the Spirit of God descending as a dove, and coming on him."
MAT	3	17	Narr_001: Matthew	#01		85	" {17} Behold, a voice out of the heavens said,"
MAT	3	17	God-FX1	#20		86	" “This is my beloved Son, with whom I am well pleased.”*~**~*||| + 2 SECs |||*~*"
MAT	4	<<	Narr_001: Matthew	#01		87	MATTHEW CHP 4
MAT	4	1	Narr_001: Matthew	#01		88	 {1} Then Jesus was led up by the Spirit into the wilderness to be tempted by the devil.
MAT	4	2	Narr_001: Matthew	#01		89	" {2} When he had fasted forty days and forty nights, he was hungry afterward. {3} The tempter came and said to him,"
MAT	4	3	Devil-FX1	#08		90	" “If you are the Son of God, command that these stones become bread.”"
MAT	4	4	Narr_001: Matthew	#01		91	" {4} But he answered,"
MAT	4	4	Jesus	#07		92	" “It is written, 'Man shall not live by bread alone, but by every word that proceeds out of the mouth of God.”"
MAT	4	5	Narr_001: Matthew	#01		93	" {5} Then the devil took him into the holy city. He set him on the pinnacle of the temple, {6} and said to him,"
MAT	4	6	Devil-FX1	#08		94	" “If you are the Son of God, throw yourself down, for it is written, 'He will put his angels in charge of you.' and, 'On their hands they will bear you up, so that you don't dash your foot against a stone.”"
MAT	4	7	Narr_001: Matthew	#01		95	" {7} Jesus said to him,"
MAT	4	7	Jesus	#07		96	" “Again, it is written, 'You shall not test the Lord, your God.”"
MAT	4	8	Narr_001: Matthew	#01		97	" {8} Again, the devil took him to an exceedingly high mountain, and showed him all the kingdoms of the world, and their glory. {9} He said to him,"
MAT	4	9	Devil-FX1	#08		98	" “I will give you all of these things, if you will fall down and worship me.”"
MAT	4	10	Narr_001: Matthew	#01		99	" {10} Then Jesus said to him,"
MAT	4	10	Jesus	#07		100	" “Get behind me, Satan! For it is written, 'You shall worship the Lord your God, and you shall serve him only.”"
MAT	4	11	Narr_001: Matthew	#01		101	" {11} Then the devil left him, and behold, angels came and served him.*~**~*||| + 2 SECs |||*~*"
MAT	4	12	Narr_001: Matthew	#01		102	" {12} Now when Jesus heard that John was delivered up, he withdrew into Galilee."
MAT	4	13	Narr_001: Matthew	#01		103	" {13} Leaving Nazareth, he came and lived in Capernaum, which is by the sea, in the region of Zebulun and Naphtali."
MAT	4	14	Narr_001: Matthew	#01		104	 {14} Therefore what was spoken by Isaiah the prophet was fulfulled:
MAT	4	15	Isaiah-FX1	#04		105	" {15} “The land of Zebulun and the land of Naphtali, toward the sea, beyond the Jordan, Galilee of the Gentiles,"
MAT	4	16	Isaiah-FX1	#04		106	" {16} the people who sat in darkness saw a great light, to those who sat in the region and shadow of death, to them light has dawned.”"
MAT	4	17	Narr_001: Matthew	#01		107	" {17} From that time, Jesus began to preach, and to say,"
MAT	4	17	Jesus	#07		108	" “Repent! For the Kingdom of Heaven is at hand.”*~**~*||| + 2 SECs |||*~*"
MAT	4	18	Narr_001: Matthew	#01		109	" {18} Walking by the sea of Galilee, he saw two brothers: Simon, who is called Peter, and Andrew, his brother, casting a net into the sea; for they were fishermen. {19} He said to them,"
MAT	4	19	Jesus	#07		110	" “Come after me, and I will make you fishers for men.”"
MAT	4	20	Narr_001: Matthew	#01		111	 {20} They immediately left their nets and followed him.
MAT	4	21	Narr_001: Matthew	#01		112	" {21} Going on from there, he saw two other brothers, James the son of Zebedee, and John his brother, in the boat with Zebedee their father, mending their nets. He called them."
MAT	4	22	Narr_001: Matthew	#01		113	" {22} They immediately left the boat and their father, and followed him. *~**~*||| + 2 SECs |||*~*"
MAT	4	23	Narr_001: Matthew	#01		114	" {23} Jesus went about in all Galilee, teaching in their synagogues, preaching the Good News of the Kingdom, and healing every disease and every sickness among the people."
MAT	4	24	Narr_001: Matthew	#01		115	" {24} The report about him went out into all Syria. They brought to him all who were sick, afflicted with various diseases and torments, possessed with demons, epileptics, and paralytics; and he healed them."
MAT	4	25	Narr_001: Matthew	#01		116	" {25} Great multitudes from Galilee, Decapolis, Jerusalem, Judea and from beyond the Jordan followed him. *~**~*||| + 2 SECs |||*~*"
MAT	5	<<	Narr_001: Matthew	#01		117	MATTHEW CHP 5
MAT	5	1	Narr_001: Matthew	#01		118	" {1} Seeing the multitudes, he went up onto the mountain. When he had sat down, his disciples came to him. {2} He began to teach them, saying,"
MAT	5	3	Jesus	#07		119	" {3} “Blessed are the poor in spirit, for theirs is the Kingdom of Heaven."
MAT	5	4	Jesus	#07		120	" {4} Blessed are those who mourn, for they shall be comforted."
MAT	5	5	Jesus	#07		121	" {5} Blessed are the gentle, for they shall inherit the earth."
MAT	5	6	Jesus	#07		122	" {6} Blessed are those who hunger and thirst after righteousness, for they shall be filled."
MAT	5	7	Jesus	#07		123	" {7} Blessed are the merciful, for they shall obtain mercy."
MAT	5	8	Jesus	#07		124	" {8} Blessed are the pure in heart, for they shall see God."
MAT	5	9	Jesus	#07		125	" {9} Blessed are the peacemakers, for they shall be called children of God."
MAT	5	10	Jesus	#07		126	" {10} Blessed are those who have been persecuted for righteousness' sake, for theirs is the Kingdom of Heaven."
MAT	5	11	Jesus	#07		127	" {11} “Blessed are you when people reproach you, persecute you, and say all kinds of evil against you falsely, for my sake."
MAT	5	12	Jesus	#07		128	" {12} Rejoice, and be exceedingly glad, for great is your reward in heaven. For that is how they persecuted the prophets who were before you."
MAT	5	13	Jesus	#07		129	" {13} “You are the salt of the earth, but if the salt has lost its flavor, with what will it be salted? It is then good for nothing, but to be cast out and trodden under the feet of men."
MAT	5	14	Jesus	#07		130	 {14} You are the light of the world. A city located on a hill can't be hidden.
MAT	5	15	Jesus	#07		131	" {15} Neither do you light a lamp, and put it under a measuring basket, but on a stand; and it shines to all who are in the house."
MAT	5	16	Jesus	#07		132	" {16} Even so, let your light shine before men; that they may see your good works, and glorify your Father who is in heaven."
MAT	5	17	Jesus	#07		133	" {17} “Don't think that I came to destroy the law or the prophets. I didn't come to destroy, but to fulfill."
MAT	5	18	Jesus	#07		134	" {18} For most certainly, I tell you, until heaven and earth pass away, not even one smallest letter or one tiny pen stroke shall in any way pass away from the law, until all things are accomplished."
MAT	5	19	Jesus	#07		135	" {19} Whoever, therefore, shall break one of these least commandments, and teach others to do so, shall be called least in the Kingdom of Heaven;"
MAT	5	19	Jesus	#07		136	 but whoever shall do and teach them shall be called great in the Kingdom of Heaven.
MAT	5	20	Jesus	#07		137	" {20} For I tell you that unless your righteousness exceeds that of the scribes and Pharisees, there is no way you will enter into the Kingdom of Heaven."
MAT	5	21	Jesus	#07		138	" {21} “You have heard that it was said to the ancient ones, 'You shall not murder;' and 'Whoever shall murder shall be in danger of the judgment.'"
MAT	5	22	Jesus	#07		139	" {22} But I tell you, that everyone who is angry with his brother without a cause shall be in danger of the judgment;"
MAT	5	22	Jesus	#07		140	" and whoever shall say to his brother, 'Raca!' shall be in danger of the council; and whoever shall say, 'You fool!' shall be in danger of the fire of Gehenna."
MAT	5	23	Jesus	#07		141	" {23} “If therefore you are offering your gift at the altar, and there remember that your brother has anything against you, {24} leave your gift there before the altar, and go your way. First be reconciled to your brother, and then come and offer your gift."
MAT	5	25	Jesus	#07		142	" {25} Agree with your adversary quickly, while you are with him in the way; lest perhaps the prosecutor deliver you to the judge, and the judge deliver you to the officer, and you be cast into prison."
MAT	5	26	Jesus	#07		143	" {26} Most certainly I tell you, you shall by no means get out of there, until you have paid the last penny."
MAT	5	27	Jesus	#07		144	" {27} “You have heard that it was said, 'You shall not commit adultery;'"
MAT	5	28	Jesus	#07		145	 {28} but I tell you that everyone who gazes at a woman to lust after her has committed adultery with her already in his heart.
MAT	5	29	Jesus	#07		146	" {29} If your right eye causes you to stumble, pluck it out and throw it away from you."
MAT	5	29	Jesus	#07		147	" For it is more profitable for you that one of your members should perish, than for your whole body to be cast into Gehenna."
MAT	5	30	Jesus	#07		148	" {30} If your right hand causes you to stumble, cut it off, and throw it away from you."
MAT	5	30	Jesus	#07		149	" For it is more profitable for you that one of your members should perish, than for your whole body to be cast into Gehenna."
MAT	5	31	Jesus	#07		150	" {31} “It was also said, 'Whoever shall put away his wife, let him give her a writing of divorce.'"
MAT	5	32	Jesus	#07		151	" {32} But I tell you that whoever puts away his wife, except for the cause of sexual immorality, makes her an adulteress;"
MAT	5	32	Jesus	#07		152	 and whoever marries her when she is put away commits adultery.
MAT	5	33	Jesus	#07		153	" {33} “Again you have heard that it was said to them of old time, 'You shall not make false vows, but shall perform to the Lord your vows,'"
MAT	5	34	Jesus	#07		154	" {34} but I tell you, don't swear at all: neither by heaven, for it is the throne of God;"
MAT	5	35	Jesus	#07		155	" {35} nor by the earth, for it is the footstool of his feet; nor by Jerusalem, for it is the city of the great King."
MAT	5	36	Jesus	#07		156	" {36} Neither shall you swear by your head, for you can't make one hair white or black."
MAT	5	37	Jesus	#07		157	 {37} But let your 'Yes' be 'Yes' and your 'No' be 'No.' Whatever is more than these is of the evil one.
MAT	5	38	Jesus	#07		158	" {38} “You have heard that it was said, 'An eye for an eye, and a tooth for a tooth.'"
MAT	5	39	Jesus	#07		159	" {39} But I tell you, don't resist him who is evil; but whoever strikes you on your right cheek, turn to him the other also."
MAT	5	40	Jesus	#07		160	" {40} If anyone sues you to take away your coat, let him have your cloak also."
MAT	5	41	Jesus	#07		161	" {41} Whoever compels you to go one mile, go with him two."
MAT	5	42	Jesus	#07		162	" {42} Give to him who asks you, and don't turn away him who desires to borrow from you."
MAT	5	43	Jesus	#07		163	" {43} “You have heard that it was said, 'You shall love your neighbor, and hate your enemy.'"
MAT	5	44	Jesus	#07		164	" {44} But I tell you, love your enemies, bless those who curse you, do good to those who hate you, and pray for those who mistreat you and persecute you."
MAT	5	45	Jesus	#07		165	 {45} Then you will be children of your Father who is in heaven.
MAT	5	45	Jesus	#07		166	" For He makes his sun to rise on the evil and the good, and He sends rain on the just and the unjust."
MAT	5	46	Jesus	#07		167	" {46} For if you love those who love you, what reward do you have? Don't even the tax collectors do the same?"
MAT	5	47	Jesus	#07		168	" {47} If you only greet your friends, what more do you do than others? Don't even the tax collectors do the same?"
MAT	5	48	Jesus	#07		169	" {48} Therefore you shall be perfect, just as your Father in heaven is perfect. *~**~*||| + 2 SECs |||*~*"
MAT	6	<<	Narr_001: Matthew	#01		170	MATTHEW CHP 6
MAT	6	1	Jesus	#07		171	" {1} “Be careful that you don't do your charitable giving before men, to be seen by them."
MAT	6	1	Jesus	#07		172	 Otherwise you will have no reward from your Father who is in heaven.
MAT	6	2	Jesus	#07		173	" {2} Therefore when you do merciful deeds, don't sound a trumpet before yourself, as the hypocrites do in the synagogues and in the streets, that they may get glory from men."
MAT	6	2	Jesus	#07		174	" Most certainly I tell you, they have received their reward."
MAT	6	3	Jesus	#07		175	" {3} But when you do merciful deeds, don't let your left hand know what your right hand does."
MAT	6	4	Jesus	#07		176	" {4} That way your merciful deeds will be done in secret, then your Father who sees in secret will reward you openly."
MAT	6	5	Jesus	#07		177	" {5} “When you pray, you shall not be as the hypocrites, for they love to stand and pray in the synagogues and in the corners of the streets, that they may be seen by men."
MAT	6	5	Jesus	#07		178	" Most certainly, I tell you, they have received their reward."
MAT	6	6	Jesus	#07		179	" {6} But you, when you pray, enter into your inner room, and having shut your door, pray to your Father who is in secret."
MAT	6	6	Jesus	#07		180	 Your Father who sees in secret will reward you openly.
MAT	6	7	Jesus	#07		181	" ||| DO NOT COMBINE |||*~*{Music--Ends before v7}*~**~* {7} In praying, don't use vain repetitions, as the Gentiles do; for they think that they will be heard for their much speaking."
MAT	6	8	Jesus	#07		182	" {8} Therefore don't be like them, for your Father knows what things you need, before you ask him."
MAT	6	9	Jesus	#07		183	" {9} Pray like this: Our Father in heaven, may your name be kept holy."
MAT	6	10	Jesus	#07		184	" {10} Let your Kingdom come. Let your will be done, as in heaven, so on earth."
MAT	6	11	Jesus	#07		185	 {11} Give us today our daily bread.
MAT	6	12	Jesus	#07		186	" {12} Forgive us our debts, as we also forgive our debtors."
MAT	6	13	Jesus	#07		187	" {13} Bring us not into temptation, but deliver us from the evil one. For yours is the Kingdom, the power, and the glory forever. Amen.'"
MAT	6	14	Jesus	#07		188	" {14} “For if you forgive men their trespasses, your heavenly Father will also forgive you."
MAT	6	15	Jesus	#07		189	" {15} But if you don't forgive men their trespasses, neither will your Father forgive your trespasses. *~**~*||| + 2 SECs |||*~*"
MAT	6	16	Jesus	#07		190	" {16} “Moreover when you fast, don't be like the hypocrites, with sad faces. For they disfigure their faces, that they may be seen by men to be fasting."
MAT	6	16	Jesus	#07		191	" Most certainly I tell you, they have received their reward."
MAT	6	17	Jesus	#07		192	" {17} But you, when you fast, anoint your head, and wash your face;"
MAT	6	18	Jesus	#07		193	" {18} that way you are not seen by men to be fasting, but by your Father who is in secret, and your Father, who sees in secret, will reward you."
MAT	6	19	Jesus	#07		194	" {19} “Don't lay up treasures for yourselves on the earth, where moth and rust consume, and where thieves break through and steal;"
MAT	6	20	Jesus	#07		195	" {20} but lay up for yourselves treasures in heaven, where neither moth nor rust consume, and where thieves don't break through and steal."
MAT	6	21	Jesus	#07		196	" {21} For where your treasure is, there your heart will be also."
MAT	6	22	Jesus	#07		197	" {22} “The lamp of the body is the eye. If therefore your eye is sound, your whole body will be full of light."
MAT	6	23	Jesus	#07		198	" {23} But if your eye is evil, your whole body will be full of darkness. If therefore the light that is in you is darkness, how great is the darkness!"
MAT	6	24	Jesus	#07		199	" {24} “No one can serve two masters, for either he will hate the one and love the other; or else he will be devoted to one and despise the other. You can't serve both God and Mammon."
MAT	6	25	Jesus	#07		200	" {25} Therefore I tell you, don't be anxious for your life: what you will eat, or what you will drink; nor yet for your body, what you will wear. Isn't life more than food, and the body more than clothing?"
MAT	6	26	Jesus	#07		201	" {26} See the birds of the sky, that they don't sow, neither do they reap, nor gather into barns. Your heavenly Father feeds them. Aren't you of much more value than they?"
MAT	6	27	Jesus	#07		202	" {27} “Which of you, by being anxious, can add one moment to his lifespan?"
MAT	6	28	Jesus	#07		203	" {28} Why are you anxious about clothing? Consider the lilies of the field, how they grow. They don't toil, neither do they spin,"
MAT	6	29	Jesus	#07		204	 {29} yet I tell you that even Solomon in all his glory was not dressed like one of these.
MAT	6	30	Jesus	#07		205	" {30} But if God so clothes the grass of the field, which today exists, and tomorrow is thrown into the oven, won't he much more clothe you, you of little faith?"
MAT	6	31	Jesus	#07		206	" {31} “Therefore don't be anxious, saying, 'What will we eat?', 'What will we drink?' or, 'With what will we be clothed?'"
MAT	6	32	Jesus	#07		207	 {32} For the Gentiles seek after all these things; for your heavenly Father knows that you need all these things.
MAT	6	33	Jesus	#07		208	" {33} But seek first God's Kingdom, and his righteousness; and all these things will be given to you as well."
MAT	6	34	Jesus	#07		209	" {34} Therefore don't be anxious for tomorrow, for tomorrow will be anxious for itself. Each day's own evil is sufficient. *~**~*||| + 2 SECs |||*~*"
MAT	7	<<	Narr_001: Matthew	#01		210	 MATTHEW CHP 7
MAT	7	1	Jesus	#07		211	" {1} “Don't judge, so that you won't be judged."
MAT	7	2	Jesus	#07		212	" ||| DO NOT COMBINE |||*~*{Music--Starts @ v2}*~**~* {2} For with whatever judgment you judge, you will be judged; and with whatever measure you measure, it will be measured to you."
MAT	7	3	Jesus	#07		213	" {3} Why do you see the speck that is in your brother's eye, but don't consider the beam that is in your own eye?"
MAT	7	4	Jesus	#07		214	" {4} Or how will you tell your brother, 'Let me remove the speck from your eye;' and behold, the beam is in your own eye?"
MAT	7	5	Jesus	#07		215	" {5} You hypocrite! First remove the beam out of your own eye, and then you can see clearly to remove the speck out of your brother's eye."
MAT	7	6	Jesus	#07		216	" {6} “Don't give that which is holy to the dogs, neither throw your pearls before the pigs, lest perhaps they trample them under their feet, and turn and tear you to pieces."
MAT	7	7	Jesus	#07		217	" {7} “Ask, and it will be given you. Seek, and you will find. Knock, and it will be opened for you."
MAT	7	8	Jesus	#07		218	 {8} For everyone who asks receives. He who seeks finds. To him who knocks it will be opened.
MAT	7	9	Jesus	#07		219	" {9} Or who is there among you, who, if his son asks him for bread, will give him a stone?"
MAT	7	10	Jesus	#07		220	" {10} Or if he asks for a fish, who will give him a serpent?"
MAT	7	11	Jesus	#07		221	" {11} If you then, being evil, know how to give good gifts to your children, how much more will your Father who is in heaven give good things to those who ask him!"
MAT	7	12	Jesus	#07		222	" {12} Therefore whatever you desire for men to do to you, you shall also do to them; for this is the law and the prophets."
MAT	7	13	Jesus	#07		223	" {13} “Enter in by the narrow gate; for wide is the gate and broad is the way that leads to destruction, and many are those who enter in by it."
MAT	7	14	Jesus	#07		224	" {14} How narrow is the gate, and restricted is the way that leads to life! Few are those who find it."
MAT	7	15	Jesus	#07		225	" {15} “Beware of false prophets, who come to you in sheep's clothing, but inwardly are ravening wolves."
MAT	7	16	Jesus	#07		226	" {16} By their fruits you will know them. Do you gather grapes from thorns, or figs from thistles?"
MAT	7	17	Jesus	#07		227	" {17} Even so, every good tree produces good fruit; but the corrupt tree produces evil fruit."
MAT	7	18	Jesus	#07		228	" {18} A good tree can't produce evil fruit, neither can a corrupt tree produce good fruit."
MAT	7	19	Jesus	#07		229	" {19} Every tree that doesn't grow good fruit is cut down, and thrown into the fire."
MAT	7	20	Jesus	#07		230	 {20} Therefore by their fruits you will know them.
MAT	7	21	Jesus	#07		231	" {21} Not everyone who says to me, 'Lord, Lord,' will enter into the Kingdom of Heaven; but he who does the will of my Father who is in heaven."
