#Character ID	Code (discard)	Multiple Speakers	Gender	Age	Comment
answer from Israel	491	TRUE			
anyone	493	FALSE			
anyone with complaint for king	492	FALSE			
apostles	494	TRUE	Male		
Appolos	39	FALSE	Male		
Aramean soldiers	41	TRUE	Male		
Araunah, the Jebusite	42	FALSE	Male		
Arioch	43	FALSE	Male		
Army cry	44	TRUE	Male		
Army officer, one of	45	FALSE	Male		
Army officers	46	TRUE	Male		
Artaxerxes, king of Persia	47	FALSE	Male		
Asa, king of Judah	49	FALSE	Male		
Asahel, brother of Joab	50	FALSE	Male		
Asaph	51	FALSE	Male		
assembly, whole	495	TRUE			
astrologers	496	TRUE	Male		
Athaliah, mother of Ahaziah (Queen)	53	FALSE	Female		
attendants to Xerxes, king	497	TRUE	Male		
attendents of Phineas' wife	1008	TRUE	Female		
authorities, governing	499	TRUE	Male		
authorities, Philippi	498	TRUE	Male		
Azariah the priest	55	FALSE	Male		
Azariah the priest/eighty other priests		TRUE	Male		
Azariah, son of Oded		FALSE	Male		
Azariah/Johanan/arrogant men		TRUE	Male		
Babylon	57	FALSE			
Balaam	58	FALSE	Male		
Balak	59	FALSE	Male		
Barak	60	FALSE	Male		
Barnabas	61	FALSE	Male		
Bartimaeus	1014	FALSE	Male		
Baruch	63	FALSE	Male		
Barzillai	1063	FALSE	Male		
Bathsheba	64	FALSE	Female		
believers who were Pharisees	500	TRUE	Male		
believers, circumcised (in Jerusalem)	502	TRUE	Male		
believers, Corinth	501	TRUE			
believers, one hundred twenty	503	TRUE			
beloved	504	FALSE			
Belshazzar, king of Babylon	65	FALSE	Male		
Benaiah, son of Jehoiada	67	FALSE	Male		
Ben-Hadad, king of Aram	66	FALSE	Male		
Benjamite	68	FALSE	Male		
Benjamites	1068	TRUE			
Beth Shemesh, men of	69	TRUE	Male		
Bethlehem, elders of	70	TRUE	Male		
Bildad the Shuhite	71	FALSE	Male		
blind man	505	FALSE	Male		
blind men, two	506	TRUE	Male		
Boaz	72	FALSE	Male		
Book of the Wars of the LORD	73	FALSE			
brothers at Antioch, the	2001	TRUE	Male		
brothers at Puteoli, some	1807	TRUE	Male		
bystanders at Calvary	508	TRUE			
bystanders, rest	507	TRUE			
Caesar Augustus	74	FALSE	Male		
Caiaphas	75	FALSE	Male		
Cain	76	FALSE	Male		
Caleb	77	FALSE	Male		
Caleb (old)	1077	FALSE	Male	old (85)	
Canaanite (Syrophoenician) mother of possessed girl	78	FALSE	Female		
Canaanites	79	TRUE			
captain	511	FALSE	Male		
captain of the temple guard/chief priests	510	TRUE	Male		
captain, first	509	FALSE	Male		
captain, second	1511	FALSE	Male		
captain, third	1512	FALSE	Male		
captain/crew	512	TRUE	Male		
centurion at crucifixion	513	FALSE	Male		
centurion at Paul's flogging	514	FALSE	Male		
centurion on ship with Paul	515	FALSE	Male		
centurion summoned by Pilate	2515	FALSE	Male		
centurion with great faith	3515	FALSE	Male		
centurion, one of the	1515	FALSE	Male		
chariot commanders of Aram	516	TRUE	Male		
chief baker	517	FALSE	Male		
chief cupbearer	518	FALSE	Male		
chief official	519	FALSE	Male		
chief priests	522	TRUE	Male		
chief priests and Jewish leaders	2264	TRUE	Male		
chief priests/elders	528	TRUE	Male		
chief priests/officers of temple guard	530	TRUE	Male		
chief priests/Pharisees	525	TRUE	Male		
chief priests/rulers/the people	531	TRUE	Male		
chief priests/Sanhedrin	526	TRUE	Male		
chief priests/teachers of the law		TRUE	Male		
chief priests/teachers of the law/elders	533	TRUE	Male		
children	1530	TRUE		child	
children of Zion (Jerusalem)	1531	TRUE		child	
citizens of Shechem	1532	TRUE			
city clerk	1533	FALSE	Male		
Cleopas	81	FALSE	Male		
Cleopas' companion (on road to Emmaus)	798	FALSE	Unknown		
Cleopas/companion (on road to Emmaus)		TRUE			
collectors of temple tax	535	TRUE			
commander	536	FALSE			
company of the prophets	542	TRUE			
company of the prophets (Bethel)	538	TRUE			
company of the prophets (Jericho)	539	TRUE			
company of the prophets, one of (the LORD says) (young man)	540	FALSE	Male	young man	
company of the prophets, one of (young man)	541	FALSE	Male	young man	
concubine's husband	543	FALSE	Male		
conquerors of beast, image & his name	544	TRUE			
Cornelius	83	FALSE	Male		
council of elders:chief priests/teachers of the law	545	TRUE	Male		
craftsman	547	FALSE	Male		
craftsmen/workmen	548	TRUE	Male		
Cretan prophet	84	FALSE	Male		
criminal on cross, another	549	FALSE	Male		
criminal on cross, one	550	FALSE	Male		
crippled man	551	FALSE	Male		
crowd	552	TRUE			
crowd, large	563	TRUE			
crowd, many in the	565	TRUE			
crowd, others in	1552	TRUE			
crowd, some in	567	TRUE			
crying out	568	FALSE	Male		Used only in Habbakuk - should probably be Habbakuk
cured man, blind from birth	569	FALSE	Male		
Cyrus, king of Persia	85	FALSE	Male		
Dan	236	FALSE	Male		
Daniel	86	FALSE	Male		
Danites	87	TRUE			
Darius	88	FALSE	Male		
Dathan		FALSE	Male		
Dathan/Abiram	89	TRUE	Male		
daughter of Zion	570	FALSE	Female		
daughter-in-law of Eli	571	FALSE	Female		
daughters of Zelophehad	572	TRUE	Female		
David	93	FALSE	Male		
David's enemies	94	TRUE	Male		
David's men	95	TRUE	Male		
David's servants	1096	TRUE			
David's supporters	1800	TRUE			
Deborah	1094	FALSE	Female		
Delilah	1095	FALSE	Female		
Demetrius	96	FALSE	Male		
demons coming out of people	1573	TRUE			
demons/demon-possessed man	573	TRUE			
disciple who wanted to bury his father		FALSE	Male		
disciples	577	TRUE	Male		
disciples (but not Thomas)		TRUE	Male		
disciples of John Baptist, two (Andrew and another)	575	TRUE	Male		
disciples, some	574	TRUE			
disciples, two men (from Joppa)		TRUE	Male		
Doeg the Edomite	99	FALSE	Male		
eagle crying with loud voice	1581	FALSE			
ear	582	FALSE			
Ebed-Melech (official of king of Judea)	100	FALSE			
Edom	102	FALSE			
Eglon, king of Moab	103	FALSE	Male		
Egyptian (slave of Amalekite)	104	FALSE			
Egyptians	105	TRUE			
Ehud	106	FALSE			
Ekron, people of	107	TRUE			
elders	585	TRUE	Male		
elders of the Jews		TRUE	Male		
elders of the land	1582	TRUE	Male		
elders, Ephesian	583	TRUE	Male		
elders, one of the	584	FALSE	Male		
elders/people	586	TRUE	Male		
Eleazar, the priest	108	FALSE	Male		
Eleven/those with them	109	TRUE			
Eli	110	FALSE	Male		
Eliab, David's brother	111	FALSE	Male		
Eliakim	112	FALSE			
Eliezer, prophet of the Lord	113	FALSE	Male		
Elihu, son of Barakel	114	FALSE	Male		
Elijah	115	FALSE	Male		
Eliphaz the Temanite	116	FALSE	Male		
Elisha	118	FALSE	Male		
Elisha (LORD has shown me)	117	FALSE	Male		
Elishama/Delaiah/Elnathan/Gemariah/Zedekiah/other officials	121	TRUE	Male		
Elisha's messenger	119	FALSE			
Elizabeth	122	FALSE	Female		
Elkanah	123	FALSE			
Enemies of God	124	TRUE			
Enemies of Israel	126	TRUE			
Enemy	128	FALSE			
Enoch	129	FALSE	Male		
Ephraimites	130	TRUE			
Ephron the Hittite	131	FALSE	Male		
Epicurean and Stoic philosophers	1133	TRUE			
Epicurean and Stoic philosophers, interested	2134	TRUE			
Epicurean and Stoic philosophers, other	133	TRUE			
Epicurean and Stoic philosophers, sneering	1134	TRUE			
Epicurean and Stoic philosophers, some	3133	TRUE			
Esau	2133	FALSE	Male		
Esther, queen	134	FALSE	Female		
Ethiopian	136	FALSE	Male		
Eve	137	FALSE	Female		
every created thing	1487	TRUE					
everyone	589	TRUE			
everyone in crowd	587	TRUE			
everyone who heard	588	TRUE			
evil men/troublemakers	590	TRUE			
evil spirit	591	FALSE			
evil spirits	1591	TRUE			
exiles	592	TRUE			
expert in the law		FALSE	Male		
explorers, ten	1594	TRUE	Male		
explorers, twelve	594	TRUE	Male		
eye	601	FALSE			
Ezekiel	138	FALSE	Male		
Ezra, priest and teacher	139	FALSE	Male		
false prophets/people (as quoted by God/Micah)	860	TRUE			
false teachers	602	TRUE			
false witnesses	603	TRUE			
family heads of Gilead	604	TRUE	Male		
father of concubine	605	FALSE	Male		
father of cured man, blind from birth	805	FALSE	Male		
father of demon-possessed boy	606	FALSE	Male		
Felix	140	FALSE	Male		
Festus	141	FALSE	Male		
Field commander from King of Assyria	142	FALSE	Male		
flatterers		TRUE			
followers of Jesus	1607	TRUE			
fool	608	FALSE			
foot	609	FALSE			
foreman	610	FALSE	Male		
fortune telling slave girl	611	FALSE	Female		
four living creatures	612	TRUE			
four living creatures/twenty-four elders	613	TRUE	Male		
friend (or informer) of Tamar	143	FALSE			
Gaal, son of Ebed	144	FALSE	Male		
Gabriel	145	FALSE	Male		
Gad, the prophet, David's seer	146	FALSE	Male		
Gadarene (or Gerasenes) people	816	TRUE			
Gallio	148	FALSE	Male		
Gamaliel	149	FALSE	Male		
Gazites (wicked)	959	TRUE			
Gedaliah, governor of Judah	151	FALSE	Male		
Gehazi	120	FALSE	Male		
Gentiles	152	TRUE			
Gibeonites	153	TRUE			
Gideon	154	FALSE	Male		
Gilead, elders of	156	TRUE	Male		
Gilead, men of	157	TRUE	Male		
girls	615	TRUE	Female		
God	2000	FALSE	Male		
Goliath	158	FALSE	Male		
Good Priest	372	FALSE	Male		Many quotes resolve to this  pseudo-character by default
great company of heavenly host	1615	TRUE			
Greeks	159	TRUE			
Hadad the Edomite	160	FALSE			
Hagar, the Egyptian	161	FALSE			
Haggai (word of the LORD)	162	FALSE	Male		
Haman, highest noble to Xerxes, king	163	FALSE	Male		
Hamor	164	FALSE	Male		
Hamor/Shechem		TRUE	Male		
Hanani	165	FALSE			
Hananiah, false prophet	1165	FALSE			
Hannah	166	FALSE	Female		
Harbona, eunuch attending Xerxes, king	167	FALSE	Male		
harvesters	616	TRUE			
Hazael of Aram	168	FALSE			
head	617	FALSE			
hearers	618	TRUE			
herald	619	FALSE			
herdsman	620	FALSE	Male		
Herod Agrippa II	170	FALSE	Male		
Herod Antipas (the tetrarch)	171	FALSE	Male		
Herod the Great	172	FALSE	Male		
Herodias	173	FALSE	Female		
Herodias' daughter	174	FALSE	Female		
Hezekiah, king of Judah	175	FALSE	Male		
high priest	622	FALSE	Male		
high priest's servant (relative of the man whose ear Peter cut off)		FALSE	Male		
high priest's servant/those standing near	623	TRUE	Male		
high priests/men of their family/rulers, elders, teachers of the law		TRUE	Male		
Hilkiah, high priest	176	FALSE	Male		
him who hears	625	FALSE	Male		
Hirah, the Adullamite	177	FALSE			
Hiram, king of Tyre	178	FALSE	Male		
Hittites	180	TRUE			
Hobab, Moses brother-in-law	181	FALSE			
holy one (in vision)	627	FALSE			
Holy Spirit, the	182	FALSE	Male		
Horseman, first	184	FALSE	Male		
Horseman, second	185	FALSE	Male		
Horses (in vision)	186	TRUE			
Hosea	187	FALSE	Male		
Huldah, prophetess	188	FALSE	Female		
husband of concubine	629	FALSE			
husband of Shunammite	628	FALSE			
Hushai, David's friend	189	FALSE	Male		
hymn, early credal	630	FALSE			
idolators	223	TRUE			
idolators from Judah (men)	632	TRUE	Male		
idolators from Judah (women)	633	TRUE	Female		
informer	634	FALSE			
inscription	1635	FALSE			
inscription on turban	635	FALSE			
invaders	636	TRUE			
invalid for 38 years	637	FALSE			
Irijah, captain of the guard of Judah	190	FALSE			
Isaac	191	FALSE	Male		
Isaac, old	192	FALSE	Male	old	
Isaiah	193	FALSE	Male		
Ish-Bosheth, son of Saul	194	FALSE	Male		
Ishmael, son of Nethaniah (murderer)	195	FALSE	Male		
islanders	638	TRUE			
Israel	196	TRUE			
Israel, all	199	TRUE			
Israel, all leaders of	198	TRUE	Male		
Israel, all the tribes	197	TRUE			
Israel, elders of	200	TRUE	Male		
Israel, leaders of/King Rehoboam		TRUE	Male		
Israel, men of	201	TRUE	Male		
Israelite assembly	202	TRUE			
Israelite assembly, elders of	203	TRUE	Male		
Israelite community	204	TRUE			
Israelite foreman	1204	FALSE	Male		
Israelite messengers	205	TRUE			
Israelite people	206	TRUE			
Israelite people (spokesman before Moses)	2204	TRUE	Male		
Israelite people, all	207	TRUE			
Israelite people, grumblers	209	TRUE	Pref: Female		
Israelite people, quarrelers	1208	TRUE	Pref: Male		
Israelite soldier (in Saul's army)	210	FALSE	Male		
Israelite soldiers	212	TRUE	Male		
Israelites	213	TRUE			
Israelites (excluding Benjamites)	214	TRUE			
Israelites (wanting gods made)	466	TRUE			
Israelites (wondering about manna)	219	TRUE	Pref: Female		
Israelites, all	1217	TRUE			
Israelites, some	217	TRUE			
Ittai	224	FALSE			
Jabesh, elders of	228	TRUE	Male		
Jabesh, men of	229	TRUE	Male		
Jabez	230	FALSE	Male		
Jabez's mother	231	FALSE	Female		
Jacob	232	FALSE	Male		
Jacob's son (the one who discovered his silver in his sack)		TRUE	Male		
Jacob's sons		TRUE	Male		
Jacob's sons (not Simeon, Joseph, or Benjamin)		TRUE	Male		
Jael	238	FALSE	Female		
Jahaziel (Spirit of the Lord on)	239	FALSE			
jailer	639	FALSE	Male		
Jairus (synagogue leader)	240	FALSE	Male		
James	241	FALSE	Male		
James/John (sons of Zebedee)		TRUE	Male		
Jebusites	243	TRUE			
Jehoash, king of Israel	244	FALSE	Male		
Jehoiada	245	FALSE	Male		
Jehonadab, son of Recab	246	FALSE	Male		
Jehoshaphat, king of Judah	247	FALSE	Male		
Jehu, son of Hanani	248	FALSE	Male		
Jehu, son of Nimshi	249	FALSE	Male		
Jehucal/Zephaniah, priest	250	TRUE	Male		
Jehudi	251	FALSE			
Jephthah	253	FALSE	Male		
Jephthah's brothers	252	TRUE	Male		
Jephthah's daughter	254	FALSE	Female	youth	
Jereboam/all Israel	255	TRUE			
Jeremiah	256	FALSE	Male		
Jeremiah quoting Israel	225	FALSE			
Jeremiah's enemies	1125	TRUE	Male		
Jeroboam	1127	FALSE	Male		
Jesse	258	FALSE	Male		
Jesus	700	FALSE	Male		
Jesus (child)	1258	FALSE	Male	youth (12)	
Jesus' brothers	2258	TRUE			
Jesus' family	259	TRUE			
Jewish authorities	260	TRUE	Male		
Jews		TRUE			
Jews (with Mary and Martha)	271	TRUE			
Jews of Cyrene, Alexandria, Cilicia & Asia	5265	TRUE			
Jews, doubting (with Mary and Martha)	272	TRUE			
Jews, God-fearing from every nation	1262	TRUE			
Jews, God-fearing from every nation, some	267	TRUE			
Jews, more than forty in conspiracy	4265	TRUE			
Jews/Mary/Martha	1270	TRUE	Both		
Jews/priests/nobles/officials	274	TRUE			
Jezebel	1265	FALSE	Female		
Joab	266	FALSE	Male		
Joab's men, one of	1267	FALSE	Male		
Joash, father of Gideon	2267	FALSE	Male		
Joash, king of Judah	3267	FALSE	Male		
Job	1269	FALSE	Male		
Job's wife	1268	FALSE	Female		
Joel saying what the priests should say	226	FALSE	Male		
Joel saying what the weakling should say	227	FALSE			
Johanan	2271	FALSE			
John	1272	FALSE	Male		
John the Baptist	1273	FALSE	Male		
John's disciples	581	TRUE	Male		
Jonadab	275	FALSE	Male		
Jonah	276	FALSE	Male		
Jonathan	277	FALSE	Male		
Jonathan, son of Abiathar	279	FALSE	Male		
Jonathan's armor bearer	278	FALSE	Male		
Joram, king of Israel	280	FALSE	Male		
Joseph	282	FALSE	Male		
Joseph of Arimathea	281	FALSE	Male		
Joseph, people of	284	FALSE			
Joshua	285	FALSE	Male		
Joshua, old	286	FALSE	Male		
Joshua/Caleb		TRUE	Male		
Josiah, king of Judah	287	FALSE	Male		
Jotham	288	FALSE	Male		
Judah	233	FALSE	Male		
Judah, men of	290	TRUE	Male		
Judah, people in	291	TRUE			
Judaizers	294	TRUE	Male		
Judas (not Judas Iscariot)	292	FALSE	Male		
Judas Iscariot	293	FALSE	Male		
King of Ammonites	295	FALSE	Male		
King of Aram	1295	FALSE	Male		
King of Assyria	297	FALSE	Male		
King of Babylon	298	FALSE	Male		
King of Jericho	299	FALSE	Male		
King of Nineveh	300	FALSE	Male		
king of Sodom	640	FALSE	Male		
kings of the earth	641	TRUE	Male		
kings over the nations	642	TRUE	Male		
kings, princes, generals, rich, powerful, slave and free	643	TRUE	Male		
kinsman-redeemer	644	FALSE	Male		
Kish, father of Saul	302	FALSE	Male		
Korah		FALSE	Male		
Korah/Dathan/Abiram/250 Israelite leaders	303	TRUE	Male		
Laban	305	FALSE	Male		
Laban/Bethuel (Laban's father)		TRUE	Male		
Laban/Laban's mother	306	TRUE			
Laban's mother		FALSE	Female		
Laban's sons	1306	TRUE	Male		
Lamech (descendent of Cain)	307	FALSE	Male		
Lamech (descendent of Seth)	308	FALSE	Male		
law of Moses where LORD commanded	645	FALSE			
leaders	648	TRUE			
leaders in Ephraim (Azariah/Berekiah/Jehizkiah/Amasa)	647	TRUE	Male		
Leah	309	FALSE	Female		
leper	682	FALSE			
leper, thankful Samaritan	681	FALSE			
letter from apostles and elders	649	FALSE			
Levi	235	FALSE	Male		
Levite, young, from Bethlehem	310	FALSE	Male	young man	
Levites	311	TRUE	Male		
Levitical heads	313	TRUE	Male		
living creature, first		FALSE			
living creature, fourth	650	FALSE			
living creature, second	651	FALSE			
living creature, third	652	FALSE			
Lookout	314	FALSE			
Lot	317	FALSE	Male		
Lover	318	FALSE			
Lydia	319	FALSE	Female		
Macedonian	320	FALSE			
magi	653	TRUE	Male		
Magicians	321	TRUE			
Magistrates, chief	322	TRUE	Male		
maidens	654	TRUE	Female		
man (at Shechem)	656	FALSE	Male		
man (Hebrew fighting)	655	FALSE	Male		
man (hypothetical)	686	FALSE	Male		
man all alone	658	FALSE	Male		
man answered David	659	FALSE	Male		
man covered with leprosy	660	FALSE	Male		
man escaped from Jerusalem	661	FALSE	Male		
man from Saul's camp (young)	662	FALSE	Male	young man	
man in linen above river	663	FALSE	Male		
man in linen with writing kit (in vision)	1663	FALSE	Male		
man like bronze with measuring rod (vision of God)	664	FALSE	Male		
man of Gibeah	667	FALSE	Male		
man of God (prophet to Amaziah)	1668	FALSE	Male		
man of God (prophet to Eli)	669	FALSE	Male		
man of God from Judah	668	FALSE	Male		
man possessed by evil spirit	670	FALSE	Male		
man reporting to David	671	FALSE	Male		
man standing among myrtle trees	672	FALSE	Male		
man told David	673	FALSE	Male		
man told Joab	674	FALSE	Male		
man told Solomon	675	FALSE	Male		
man told troops	676	FALSE	Male		
man who had had demons	677	FALSE	Male		
man who says 'I know him'	678	FALSE	Male		
man who says 'we remain in union with God'	679	FALSE	Male		
man with evil spirit	680	FALSE	Male		
man with measuring line (vision)	683	FALSE	Male		
man with sponge	687	FALSE	Male		
man, still another	688	FALSE	Male		
man, wicked	689	FALSE	Male		
Manoah, father of Samson	325	FALSE	Male		
Manoah's wife, mother of Samson	324	FALSE	Female		
man's brother	684	FALSE	Male		
man's voice from the Ulai (in vision)	685	FALSE	Male		
many in crowd	691	TRUE			
many Samaritans	690	TRUE			
Martha	326	FALSE	Female		
Mary (Jesus' mother)	327	FALSE	Female		
Mary (sister of Martha)	328	FALSE	Female		
Mary Magdalene	329	FALSE	Female		
Mary/Martha	330	TRUE	Female		
master of the banquet	692	FALSE	Male		
Melchizedek, king of Salem (priest of God Most High)	331	FALSE	Male		
Memucan, noble advisor to Xerxes, king	332	FALSE	Male		
men	716	TRUE	Male		
men appointed to sing and praise	693	TRUE	Male		
men dressed in white, two	694	TRUE	Male		
men from Cornelius	695	TRUE	Male		
men from Jairus house	696	TRUE	Male		
men from Judea, some	697	TRUE	Male		
men in Capernaum synagogue	699	TRUE	Male		
men in mourning, ten of eighty	698	TRUE	Male		
men in Nazareth synagogue	701	TRUE	Male		
men of Anathoth	703	TRUE	Male		
men of Ashdod	704	TRUE	Male		
men of Babel	665	TRUE	Male		
men of David	706	TRUE	Male		
men of David, one	705	TRUE	Male		
men of Enaim	707	TRUE	Male		
men of Pharaoh	708	TRUE	Male		
men of Sodom (wicked)	709	TRUE	Male		
men of the city (Bethel)	710	TRUE	Male		
men of the city (Jericho)	1710	TRUE	Male		
men who were guarding	711	TRUE	Male		
men with leprosy, four	712	TRUE	Male		
men, large force of	713	TRUE	Male		
men, many	714	TRUE	Male		
men, some	715	TRUE	Male		
men/people	717	TRUE			
men/their wives	718	TRUE	Both		
men/their wives, other	719	TRUE	Both		
men/wives, still others	720	TRUE	Both		
Mephibosheth	333	FALSE	Male		
merchants of the earth	721	TRUE			
message to Saul	722	FALSE			
messenger	1733	TRUE			
messenger Ahimaaz	723	FALSE	Male		
messenger from battle to David	724	FALSE	Male		
messenger from guardians of Ahab's children	725	FALSE	Male		
messenger of Ahab, king of Israel	726	FALSE	Male		
messenger to Abraham	727	FALSE	Male		
messenger to David	728	FALSE	Male		
messenger to King of Jericho	729	FALSE	Male		
messenger to Saul	730	FALSE	Male		
messenger, another	733	FALSE			
messenger, Cushite	731	FALSE			
messenger, still another	734	FALSE			
messenger, yet another	735	FALSE			
messengers of Ahaziah	737	TRUE	Male		
messengers of Ben-Hadad. king of Aram	738	TRUE	Male		
messengers of Jacob	739	TRUE	Male		
Micah	334	FALSE	Male		
Micah's mother	335	FALSE	Female		
Micaiah, prophet of the LORD	336	FALSE			
Michael (archangel)	479	FALSE	Male		
Michal, David's wife	337	FALSE	Female		
Midianite soldier who had a dream	913	FALSE	Male		
Midianite soldier who interprets dream	914	FALSE	Male		
midwife of Rachel	740	FALSE	Female		
midwife of Tamar	741	FALSE	Female		
midwives, Shiphrah/Puah	742	TRUE	Female		
Miriam/Aaron		TRUE	Both		
Miriam/women	339	TRUE	Female		
Miriam-young girl	338	FALSE	Female	child	
Moabite officials	341	TRUE	Male		
Moabite officials, more distinguished	1341	TRUE	Male		
Moabites	1340	TRUE			
Moabites (female)	342	TRUE	Female		
mob	743	TRUE			
Mordecai, cousin of Esther	343	FALSE	Male		
Moses	344	FALSE	Male		
Moses' father-in-law	345	FALSE	Male		
Moses' messengers from Kadesh	346	TRUE			
Moses/Aaron		TRUE	Male		
Moses/Eleazar		TRUE	Male		
mother of cured man, blind from birth	806	FALSE	Female		
mother of Zebedee's sons	745	FALSE	Female		
multitude from all nations, tribes, peoples, languages	746	TRUE			
Naaman	1345	FALSE	Male		
Naaman's servants	1346	TRUE	Male		
Nabal	347	FALSE	Male		
Naboth	348	FALSE	Male		
Nahash the Ammonite	349	FALSE			
Naomi	350	FALSE	Female		
narrator-1CH	1139	FALSE			
narrator-1CO	748	FALSE			
narrator-1KI	1018	FALSE			
narrator-1PE	1749	FALSE			
narrator-2CH	2139	FALSE			
narrator-2CO	3748	FALSE			
narrator-ACT	753	FALSE			
narrator-AMO	1017	FALSE			
narrator-DAN	2018	FALSE			
narrator-ECC	754	FALSE			
narrator-EPH	8748	FALSE			
narrator-EXO	9748	FALSE			
narrator-EZK	756	FALSE			
narrator-EZR	757	FALSE			
narrator-GAL	10748	FALSE			
narrator-GEN	11748	FALSE			
narrator-HAB	1019	FALSE			
narrator-HEB	12748	FALSE			
narrator-ISA	758	FALSE			
narrator-JAS	1022	FALSE			
narrator-JER	1752	FALSE			
narrator-JHN	5749	FALSE			
narrator-JOS	747	FALSE			
narrator-LUK	1753	FALSE			
narrator-MAL	1747	FALSE			
narrator-MAT	755	FALSE			
narrator-MRK	1758	FALSE			
narrator-PSA	19748	FALSE			
narrator-REV	3750	FALSE			
narrator-ROM	20748	FALSE			
narrator-TIT	21748	FALSE			
narrator-ZEC	762	FALSE			
narrator-ZEP	1762	FALSE			
Nathan	352	FALSE			
Nathanael	353	FALSE			
nations, people of the	355	TRUE			
Nations, the	354	TRUE			
Nebuchadnezzar, king of Babylon	356	FALSE	Male		
Nebuzaradan	357	FALSE	Male		
Neco, king of Egypt	358	FALSE	Male		
Nehemiah	359	FALSE	Male		
neighbors of man blind from birth	764	TRUE			
neighbors of man blind from birth, others	765	TRUE			
neighbors of man blind from birth, some	766	TRUE			
neighbors/relatives of Zechariah/Elizabeth	768	TRUE			
news giver to Jacob	769	FALSE			
news giver to Joseph	770	FALSE			
Nicodemus	360	FALSE	Male		
no one	772	FALSE			
no one says	771	FALSE			
Noah	361	FALSE	Male		
Nobles/officials	362	TRUE	Male		
non-reader	773	FALSE			
Obadiah, manager of Ahab's palace	363	FALSE	Male		
Oded, prophet of the Lord	364	FALSE	Male		
officer of King Jehoshaphat of Israel		FALSE	Male		
officer of King Joram of Israel	775	FALSE	Male		
officer of king of Israel, on whose arm the king leaned	776	FALSE	Male		
officer of king of Israel, on whose arm the king leaned (post mortem)	774	FALSE	Male		
officers	779	TRUE	Male		
officers of King of Aram	777	TRUE	Male		
officers of magistrates	778	TRUE	Male		
official, royal	780	FALSE	Male		
officials of Ben-Hadad, king of Aram	781	TRUE	Male		
officials of David	782	TRUE	Male		
officials of Samaria	783	TRUE	Male		
officials of Succoth	784	TRUE	Male		
officials, Ephesus	785	TRUE	Male		
officials, one of the	786	FALSE	Male		
officials, royal, to Xerxes, king	787	TRUE	Male		
officials/all the people	788	TRUE	Male		
old man of Gibeah	789	FALSE	Male		
older daughter of Lot	790	FALSE	Female		
one at table with him	791	FALSE			
one of the experts in the law		FALSE	Male		
one of you (follower of Paul)	1791	FALSE			
one of you (hypothetical)	792	TRUE			
